c_pc_next,next,pc_offset,branch,inst,return,pc_z,skip,pc_imm12,,,,,,
,000,001,010,011,100,101,110,111,,,,,,
c_imem_addr_sel,pc,z,ez,,,,,,,,,,,
,00,01,10,,,,,,,,,,,
c_rd_rr_sel,adiw,5bit,4bit,r0,,,,,,,,,,
,00,01,10,11,,,,,,,,,,
c_alu_op,add,adc,sub,sbc,and,andn,or,xor,asr,lsr,ror,bld,neg,swap
,0000,0001,0010,0011,0100,0101,0110,0111,1000,1001,1010,1011,1100,1101
c_alu_a_sel,rf,sreg,temp,zero,,,,,,,,,,
,00,01,10,11,,,,,,,,,,
c_alu_b_sel,rf,imm,,,,,,,,,,,,
,0,1,,,,,,,,,,,,
c_imm_type,zero,six,eight,mask_2_0,mask_6_4,ff,imm_q,,,,,,,
,000,001,010,011,100,101,110,,,,,,,
c_pc_offset_mode,ld_addr_comp,branch,,,,,,,,,,,,
,0,1,,,,,,,,,,,,
c_branch_mode,z,nz,,,,,,,,,,,,
,0,1,,,,,,,,,,,,
c_ex_out_sel,alu,inst,,,,,,,,,,,,
,1,0,,,,,,,,,,,,
c_ram_op,nop,write,read,,,,,,,,,,,
,00,01,10,,,,,,,,,,,
c_io_op,nop,write,read,,,,,,,,,,,
,00,01,10,,,,,,,,,,,
c_dbus_out_sel,pc_low,pc_high,ex_out,,,,,,,,,,,
,00,01,10,,,,,,,,,,,
c_dbus_addr_sel,imm_6,imm_5,ram,,,,,,,,,,,
,00,01,10,,,,,,,,,,,
c_new_sreg_sel,alu,sreg,,,,,,,,,,,,
,00,01,,,,,,,,,,,,
c_mem_out_sel,dbus,ex_out,,,,,,,,,,,,
,0,1,,,,,,,,,,,,
c_ram_adr_sel,inst,rh,sp,rh_q,inst7,,,,,,,,,
,000,001,010,011,100,,,,,,,,,
c_rh_sel,rh_x,rh_y,rh_z,,,,,,,,,,,
,00,01,10,,,,,,,,,,,
c_rh_op,nop,inc,dec,,,,,,,,,,,
,00,01,10,,,,,,,,,,,
c_sp_op,nop,inc,dec,,,,,,,,,,,
,00,10,01,,,,,,,,,,,